Order,Period,Location ID,Sample ID,Lab Number,Year,Season,Location,Treatment,Sample,P Ibs/A,P Rating,K Ibs/A,K Rating,Mg Ibs/A,Mg Rating,Ca Ibs/A,Ca Rating,Soil pH,Buffer pH,S Ibs/A,S Rating,B Ibs/A,B Rating,Zn Ibs/A,Zn Rating,Mn Ibs/A,Mn Rating,Fe Ibs/A,Fe Rating,Cu Ibs/A,Cu Rating,Na Ibs/A,OM %,ENR Ibs/A,CEC meq,K % BS,Mg % BS,Ca % BS,H % BS,Na % BS,Lime SFR tons/acre,N SFR,P SFR,K SFR,Mg SFR,S SFR,B SFR,Zn SFR,Mn SFR,Fe SFR,Cu SFR
1,1,1,A-1-1,612106QW,,,LEAF,Old food plot,1,118,A,150,M,154,A,841,M,5.5,7.65,35,M,0.4,L,3.8,L,174,A,212,H,1.6,M,46,0.68,14,4.4,4.3,14.5,47.4,31.6,2.3,1.4,30,50,70,NA,NA,0.8,NA,NA,NA,NA
2,1,1,A-1-2,612107QW,,,LEAF,Old food plot,2,111,A,161,M,113,M,583,L,5.5,7.6,21,L,0.3,L,3.1,L,184,A,215,H,1.4,L,27,0.74,15,3.8,5.4,12.4,38.4,42.2,1.5,1.6,30,50,70,10,14,0.9,1,NA,NA,0.1
3,1,1,A-1-3,612108QW,,,LEAF,Old food plot,3,98,M,150,M,101,M,512,L,5.6,7.65,19,L,0.3,L,2.6,L,162,A,192,A,1.2,L,27,0.7,14,3.4,5.7,12.6,38.2,41.8,1.8,1.3,30,50,70,10,16,0.9,1,NA,NA,0.3
4,1,2,A-2-1,612109QW,,,LEAF,Hardwood-shrub mix,1,76,M,119,L,122,M,648,M,5,7.3,29,M,0.5,L,9.7,A,185,A,398,H,1.3,L,28,1.6,32,5.1,3,9.9,31.5,54.5,1.2,3.5,30,50,80,10,6,0.7,NA,NA,NA,0.2
5,1,2,A-2-2,612110QW,,,LEAF,Hardwood-shrub mix,2,72,M,123,L,139,M,751,M,4.9,7.3,35,M,0.5,L,12.6,H,180,A,456,VH,1.3,L,33,1.56,31,5.5,2.9,10.6,34.2,51,1.3,3.6,30,50,70,10,NA,0.7,NA,NA,NA,0.2
6,1,2,A-2-3,612111QW,,,LEAF,Hardwood-shrub mix,3,71,M,118,L,130,M,671,M,4.9,7.3,37,M,0.5,L,10.9,H,177,A,421,VH,1.3,L,34,1.55,31,5.2,2.9,10.3,32,53.4,1.4,3.6,30,50,80,10,NA,0.7,NA,NA,NA,0.2
7,1,3,A-3-1,612112QW,,,LEAF,Catch pens pine/hardwood,1,80,M,92,L,83,L,466,L,4.8,7.55,29,M,0.5,L,10.4,H,39,M,587,VH,0.9,L,32,1.03,21,3.5,3.4,9.9,33.3,51.5,2,2.7,30,50,80,10,6,0.7,NA,6,NA,0.6
8,1,3,A-3-2,612113QW,,,LEAF,Catch pens pine/hardwood,2,95,M,96,L,76,L,414,L,4.7,7.45,25,M,0.5,L,9.8,A,36,M,666,VH,0.9,L,31,0.95,19,3.7,3.3,8.5,27.7,58.8,1.8,3.3,30,50,80,10,10,0.7,NA,9,NA,0.6
9,1,3,A-3-3,612114QW,,,LEAF,Catch pens pine/hardwood,3,89,M,101,L,81,L,449,L,4.7,7.5,27,M,0.5,L,11.2,H,36,M,644,VH,0.9,L,35,0.94,19,3.7,3.5,9.2,30.6,54.6,2.1,3,30,50,80,10,8,0.7,NA,9,NA,0.6
10,1,4,B-1-1,612115QW,,,LEAF,Bermuda field,1,193,H,104,L,80,L,527,L,5.2,7.55,25,M,0.3,L,12.1,H,156,A,343,H,3.5,A,24,0.71,14,3.6,3.7,9.2,36.2,49.5,1.4,2.2,30,50,80,10,10,0.9,NA,NA,NA,NA
11,1,4,B-1-2,612116QW,,,LEAF,Bermuda field,2,190,H,117,L,81,L,521,L,5.3,7.6,24,L,0.3,L,11,H,158,A,291,H,3.4,A,23,0.71,14,3.4,4.4,9.8,37.9,46.5,1.5,1.9,30,50,80,10,11,0.9,NA,NA,NA,NA
12,1,4,B-1-3,612117QW,,,LEAF,Bermuda field,3,187,H,119,L,88,L,564,L,5.3,7.6,25,M,0.3,L,11.2,H,167,A,299,H,3.4,A,27,0.79,16,3.6,4.3,10.2,39.3,44.6,1.6,1.9,30,50,80,10,10,0.9,NA,NA,NA,NA
13,2,11,Fall 2023-1,612128QW,2023,Fall,LEAF,Burn,1,55,M,97,L,105,M,523,L,5.6,7.7,21,L,0.4,L,3.1,L,162,A,211,H,6.2,H,28,0.65,13,3.1,4,14,41.8,38.3,1.9,1.1,30,50,80,10,14,0.8,1,NA,NA,NA
14,2,11,Fall 2023-2,612129QW,2023,Fall,LEAF,Burn,2,89,M,130,M,116,M,941,M,5.5,7.5,18,L,0.5,L,5.9,M,234,H,234,H,5.3,A,26,0.84,17,5.1,3.3,9.6,46.5,39.5,1.1,2,30,50,70,10,17,0.7,NA,NA,NA,NA
15,2,11,Fall 2023-3,612130QW,2023,Fall,LEAF,Burn,3,79,M,115,L,93,L,447,L,4.3,7.05,24,L,0.5,L,3.5,L,66,A,339,H,2.5,M,30,1.72,34,5.5,2.7,7,20.3,68.9,1.2,5.5,30,50,80,10,11,0.7,1,NA,NA,NA
16,2,11,Fall 2023-4,612131QW,2023,Fall,LEAF,Burn,4,65,M,122,L,84,L,609,M,5,7.45,22,L,0.6,L,8.4,A,150,A,384,H,2.2,M,27,0.88,18,4.3,3.6,8.2,35.5,51.3,1.4,2.9,30,50,70,10,13,0.6,NA,NA,NA,NA
